team,bp_era_14d,bp_whip_14d,bp_xfip_14d,season_bullpen_era,season_bullpen_whip
ARI,4.66,1.27,4.26,4.66,1.27
ATH,4.78,1.44,4.3,4.78,1.44
ATL,3.23,1.16,3.76,3.23,1.16
BAL,4.9,1.37,4.34,4.9,1.37
BOS,3.89,1.28,3.99,3.89,1.28
CHC,3.7,1.31,3.93,3.7,1.31
CIN,5.54,1.59,4.57,5.54,1.59
CLE,4.1,1.31,4.07,4.1,1.31
COL,5.88,1.64,4.69,5.88,1.64
CWS,4.5,1.36,4.2,4.5,1.36
DET,4.63,1.48,4.25,4.63,1.48
HOU,5.05,1.47,4.4,5.05,1.47
KC,4.99,1.57,4.38,4.99,1.57
LAA,5.45,1.59,4.54,5.45,1.59
LAD,3.7,1.21,3.92,3.7,1.21
MIA,4.03,1.24,4.04,4.03,1.24
MIL,3.91,1.38,4,3.91,1.38
MIN,5.08,1.53,4.41,5.08,1.53
NYM,3.61,1.24,3.89,3.61,1.24
NYY,3.29,1.27,3.78,3.29,1.27
PHI,3.76,1.3,3.95,3.76,1.3
PIT,4.12,1.37,4.07,4.12,1.37
SD,3.76,1.31,3.95,3.76,1.31
SEA,3.48,1.35,3.85,3.48,1.35
SF,4.23,1.45,4.11,4.23,1.45
STL,4.16,1.35,4.09,4.16,1.35
TB,4.65,1.35,4.26,4.65,1.35
TEX,3.4,1.22,3.82,3.4,1.22
TOR,4.37,1.36,4.16,4.37,1.36
WSH,4.82,1.5,4.32,4.82,1.5
